Kind,SubKind,What,Where,Published,URL,SlidesURL,Tags
podcast,episode,Chat about open source and platforms,Komodor,2023,https://komodor.com/resources/022-kubernetes-for-humans-with-adrian-cockcroft-nubank/,,kubernetes,open-source,platforms
podcast,episode,Nvidia's Superchips for AI: GH200 and flip.ai,The New Stack,2023,https://thenewstack.io/nvidias-superchips-for-ai-radical-but-a-work-in-progress/,,ai,hardware,nvidia
podcast,episode,Monitoring for AI,The New Stack,2023,https://thenewstack.io/the-new-monitoring-for-services-that-feed-from-llms/,,observability,llm,monitoring
podcast,episode,From Code to Climate,Barry O'Reilly,2023,https://barryoreilly.com/explore/podcast/sustainable-future-for-technology/,,sustainability,climate,technology
podcast,episode,Microservices and Teraservices,InfoQ,2017,https://www.infoq.com/podcasts/adrian-cockcroft/,,microservices,architecture,cloud
podcast,episode,Episode 15,Flow Framework,2021,https://flowframework.org/ffc-podcast/adrian-cockcroft/,,flow-framework,value-stream,devops
podcast,episode,Episode 24,Flow Framework,2022,https://flowframework.org/ffc-podcast/adrian-cockcroft-ep-24/,,flow-framework,value-stream,devops
podcast,episode,Netflix on AWS,CloudFix,2022,https://cloudfix.com/podcast/when-netflix-bet-on-aws/,,netflix,aws,cloud-migration
podcast,episode,Serverless and continuous resilience,Container Solutions,2021,https://blog.container-solutions.com/adrian-cockcroft-on-serverless-continuous-resilience,,serverless,resilience,chaos-engineering
podcast,episode,Future Architectures,HPC Podcast,2023,https://orionx.net/2023/11/hpcpodcast-77-adrian-cockcroft-on-future-architectures/,,hpc,architecture,cloud
podcast,episode,ESG and HPC,HPC Podcast,2023,https://orionx.net/2023/05/hpcpodcast-57-decarbonization-renewable-energy-esg-w-adrian-cockcroft/,,sustainability,esg,hpc,renewable-energy
podcast,episode,Evolution of Microservices,ACM Tech Talks,2022,https://learning.acm.org/techtalks/microservices,,microservices,cloud-native,architecture
podcast,episode,Scheduling,Software Engineering Daily,2016,https://softwareengineeringdaily.com/2016/07/06/schedulers-with-adrian-cockcroft/,,scheduling,distributed-systems,containers
podcast,episode,Architecting for cloud,InfoQ,2013,https://www.infoq.com/interviews/Adrian-Cockcroft-Netflix/,,netflix,cloud,architecture
podcast,episode,Interview early life etc,Magpie Talk Show,2016,https://samnewman.io/blog/2016/10/08/magpie-talkshow-episode-22-adrian-cockcroft/,,career,netflix,microservices
podcast,episode,Microservices,SE Radio,2014,https://se-radio.net/2014/12/episode-216-adrian-cockcroft-on-the-modern-cloud-based-platform/,,microservices,cloud-platform,netflix
